alert_id,timestamp,user_id,event_id,rule_triggered,risk_score,decision,explanation,status,risk_factors,risk_factors_obj
ALERT000016,2026-02-01T16:39:26.344Z,USR0308,EVT000016,AUTH-003,36,suppress,"Risk score 36/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":17,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":54,""is_threat"":0}"
ALERT000017,2026-01-20T16:39:26.344Z,USR0801,EVT000017,AUTH-002,50,review,"Risk score 50/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":27,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":31,""is_threat"":0}"
ALERT000018,2026-01-24T16:39:26.344Z,USR0398,EVT000018,AUTH-001,79,escalate,"Risk score 79/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":37,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":49,""is_threat"":0}"
ALERT000019,2026-02-13T16:39:26.344Z,USR0033,EVT000019,AUTH-001,53,review,"Risk score 53/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":38,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":60,""is_threat"":0}"
ALERT000020,2026-01-25T16:39:26.344Z,USR0544,EVT000020,AUTH-001,39,suppress,"Risk score 39/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":17,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":59,""is_threat"":0}"
ALERT000021,2026-01-30T16:39:26.344Z,USR0182,EVT000021,AUTH-003,59,review,"Risk score 59/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":38,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":26,""is_threat"":0}"
ALERT000022,2026-02-08T16:39:26.344Z,USR0301,EVT000022,AUTH-001,6,suppress,"Risk score 6/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":33,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":15,""is_threat"":0}"
ALERT000023,2026-01-17T16:39:26.344Z,USR0330,EVT000023,AUTH-001,58,review,"Risk score 58/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":26,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":25,""is_threat"":0}"
ALERT000024,2026-01-26T16:39:26.344Z,USR0237,EVT000024,AUTH-002,47,review,"Risk score 47/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":31,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":11,""is_threat"":0}"
ALERT000025,2026-02-02T16:39:26.344Z,USR0982,EVT000025,AUTH-002,53,review,"Risk score 53/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":21,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":63,""is_threat"":0}"
ALERT000026,2026-01-29T16:39:26.344Z,USR0548,EVT000026,AUTH-003,8,suppress,"Risk score 8/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":20,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":0,""is_threat"":0}"
ALERT000027,2026-01-31T16:39:26.344Z,USR0148,EVT000027,AUTH-002,90,escalate,"Risk score 90/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":15,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":30,""is_threat"":1}"
ALERT000028,2026-02-09T16:39:26.344Z,USR0101,EVT000028,AUTH-002,70,review,"Risk score 70/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":13,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":49,""is_threat"":0}"
ALERT000029,2026-01-16T16:39:26.344Z,USR0156,EVT000029,AUTH-001,88,escalate,"Risk score 88/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":25,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":67,""is_threat"":1}"
ALERT000030,2026-01-16T16:39:26.344Z,USR0624,EVT000030,AUTH-001,66,review,"Risk score 66/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":20,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":61,""is_threat"":0}"
ALERT000031,2026-01-17T16:39:26.344Z,USR0422,EVT000031,AUTH-003,50,review,"Risk score 50/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":24,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":41,""is_threat"":0}"
ALERT000032,2026-01-22T16:39:26.344Z,USR0118,EVT000032,AUTH-003,10,suppress,"Risk score 10/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":27,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":45,""is_threat"":0}"
ALERT000033,2026-02-06T16:39:26.344Z,USR0844,EVT000033,AUTH-002,71,review,"Risk score 71/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":10,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":1,""is_threat"":0}"
ALERT000034,2026-01-18T16:39:26.344Z,USR0744,EVT000034,AUTH-003,76,escalate,"Risk score 76/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":20,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":42,""is_threat"":0}"
ALERT000035,2026-01-28T16:39:26.344Z,USR0902,EVT000035,AUTH-001,45,review,"Risk score 45/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":27,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":29,""is_threat"":0}"
ALERT000036,2026-01-18T16:39:26.344Z,USR0897,EVT000036,AUTH-001,22,suppress,"Risk score 22/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":4,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":12,""is_threat"":0}"
ALERT000037,2026-01-28T16:39:26.344Z,USR0549,EVT000037,AUTH-003,76,escalate,"Risk score 76/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":25,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":37,""is_threat"":0}"
ALERT000038,2026-01-23T16:39:26.345Z,USR0991,EVT000038,AUTH-001,45,review,"Risk score 45/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":5,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":70,""is_threat"":0}"
ALERT000039,2026-01-27T16:39:26.345Z,USR0383,EVT000039,AUTH-001,94,escalate,"Risk score 94/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":7,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":32,""is_threat"":1}"
ALERT000040,2026-01-23T16:39:26.345Z,USR0685,EVT000040,AUTH-001,92,escalate,"Risk score 92/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":25,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":59,""is_threat"":1}"
ALERT000041,2026-02-10T16:39:26.345Z,USR0056,EVT000041,AUTH-003,76,escalate,"Risk score 76/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":11,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":63,""is_threat"":0}"
ALERT000042,2026-01-24T16:39:26.345Z,USR0061,EVT000042,AUTH-003,38,suppress,"Risk score 38/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":37,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":36,""is_threat"":0}"
ALERT000043,2026-01-19T16:39:26.345Z,USR0075,EVT000043,AUTH-001,19,suppress,"Risk score 19/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":9,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":24,""is_threat"":0}"
ALERT000044,2026-01-19T16:39:26.345Z,USR1000,EVT000044,AUTH-003,43,review,"Risk score 43/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":35,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":69,""is_threat"":0}"
ALERT000045,2026-01-14T16:39:26.345Z,USR0621,EVT000045,AUTH-001,2,suppress,"Risk score 2/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":38,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":26,""is_threat"":0}"
ALERT000046,2026-02-11T16:39:26.345Z,USR0055,EVT000046,AUTH-002,80,escalate,"Risk score 80/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":30,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":22,""is_threat"":0}"
ALERT000047,2026-02-07T16:39:26.345Z,USR0905,EVT000047,AUTH-002,14,suppress,"Risk score 14/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":32,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":1,""is_threat"":0}"
ALERT000048,2026-01-26T16:39:26.345Z,USR0776,EVT000048,AUTH-002,52,review,"Risk score 52/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":2,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":4,""is_threat"":0}"
ALERT000049,2026-02-04T16:39:26.345Z,USR0559,EVT000049,AUTH-003,29,suppress,"Risk score 29/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":39,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":14,""is_threat"":0}"
ALERT000050,2026-02-02T16:39:26.345Z,USR0514,EVT000050,AUTH-001,11,suppress,"Risk score 11/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":1,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":59,""is_threat"":0}"
ALERT000051,2026-01-25T16:39:26.345Z,USR0665,EVT000051,AUTH-003,17,suppress,"Risk score 17/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":12,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":25,""is_threat"":0}"
ALERT000052,2026-02-01T16:39:26.345Z,USR0528,EVT000052,AUTH-003,79,escalate,"Risk score 79/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":30,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":3,""is_threat"":0}"
ALERT000053,2026-02-03T16:39:26.345Z,USR0532,EVT000053,AUTH-001,75,review,"Risk score 75/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":27,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":69,""is_threat"":0}"
ALERT000054,2026-01-27T16:39:26.345Z,USR0787,EVT000054,AUTH-001,13,suppress,"Risk score 13/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":26,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":59,""is_threat"":0}"
ALERT000055,2026-01-29T16:39:26.345Z,USR0144,EVT000055,AUTH-003,71,review,"Risk score 71/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":5,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":38,""is_threat"":0}"
ALERT000056,2026-02-06T16:39:26.345Z,USR0360,EVT000056,AUTH-003,72,review,"Risk score 72/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":33,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":19,""is_threat"":0}"
ALERT000057,2026-02-03T16:39:26.345Z,USR0047,EVT000057,AUTH-001,8,suppress,"Risk score 8/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":8,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":9,""is_threat"":0}"
ALERT000058,2026-01-18T16:39:26.345Z,USR0653,EVT000058,AUTH-003,95,escalate,"Risk score 95/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":28,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":43,""is_threat"":1}"
ALERT000059,2026-01-30T16:39:26.345Z,USR0516,EVT000059,AUTH-001,51,review,"Risk score 51/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":39,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":55,""is_threat"":0}"
ALERT000060,2026-02-06T16:39:26.345Z,USR0232,EVT000060,AUTH-001,6,suppress,"Risk score 6/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":9,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":41,""is_threat"":0}"
ALERT000061,2026-02-13T16:39:26.345Z,USR0141,EVT000061,AUTH-001,98,escalate,"Risk score 98/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":36,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":59,""is_threat"":1}"
ALERT000062,2026-01-23T16:39:26.345Z,USR0768,EVT000062,AUTH-002,22,suppress,"Risk score 22/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":3,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":62,""is_threat"":0}"
ALERT000063,2026-01-28T16:39:26.345Z,USR0965,EVT000063,AUTH-001,84,escalate,"Risk score 84/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":35,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":25,""is_threat"":0}"
ALERT000064,2026-02-10T16:39:26.345Z,USR0942,EVT000064,AUTH-001,81,escalate,"Risk score 81/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":19,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":36,""is_threat"":0}"
ALERT000065,2026-01-31T16:39:26.345Z,USR0789,EVT000065,AUTH-001,99,escalate,"Risk score 99/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":10,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":23,""is_threat"":1}"
ALERT000066,2026-02-05T16:39:26.345Z,USR0889,EVT000066,AUTH-001,60,review,"Risk score 60/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":21,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":25,""is_threat"":0}"
ALERT000067,2026-02-05T16:39:26.345Z,USR0508,EVT000067,AUTH-001,93,escalate,"Risk score 93/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":26,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":39,""is_threat"":1}"
ALERT000068,2026-01-24T16:39:26.345Z,USR0419,EVT000068,AUTH-003,38,suppress,"Risk score 38/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":36,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":16,""is_threat"":0}"
ALERT000069,2026-01-22T16:39:26.345Z,USR0859,EVT000069,AUTH-002,60,review,"Risk score 60/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":7,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":58,""is_threat"":0}"
ALERT000070,2026-01-26T16:39:26.345Z,USR0915,EVT000070,AUTH-002,98,escalate,"Risk score 98/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":23,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":43,""is_threat"":1}"
ALERT000071,2026-01-26T16:39:26.345Z,USR0028,EVT000071,AUTH-001,43,review,"Risk score 43/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":13,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":44,""is_threat"":0}"
ALERT000072,2026-02-02T16:39:26.345Z,USR0891,EVT000072,AUTH-003,89,escalate,"Risk score 89/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":24,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":56,""is_threat"":1}"
ALERT000073,2026-01-18T16:39:26.345Z,USR0649,EVT000073,AUTH-002,14,suppress,"Risk score 14/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":38,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":55,""is_threat"":0}"
ALERT000074,2026-01-16T16:39:26.345Z,USR0237,EVT000074,AUTH-002,49,review,"Risk score 49/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":3,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":2,""is_threat"":0}"
ALERT000075,2026-01-27T16:39:26.345Z,USR0265,EVT000075,AUTH-003,7,suppress,"Risk score 7/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":26,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":27,""is_threat"":0}"
ALERT000076,2026-01-27T16:39:26.345Z,USR0728,EVT000076,AUTH-001,16,suppress,"Risk score 16/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":4,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":21,""is_threat"":0}"
ALERT000077,2026-02-04T16:39:26.345Z,USR0155,EVT000077,AUTH-003,83,escalate,"Risk score 83/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":4,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":4,""is_threat"":0}"
ALERT000078,2026-01-19T16:39:26.345Z,USR0303,EVT000078,AUTH-003,87,escalate,"Risk score 87/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":8,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":12,""is_threat"":1}"
ALERT000079,2026-01-26T16:39:26.345Z,USR0601,EVT000079,AUTH-003,15,suppress,"Risk score 15/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":3,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":69,""is_threat"":0}"
ALERT000080,2026-02-01T16:39:26.345Z,USR0921,EVT000080,AUTH-002,21,suppress,"Risk score 21/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":14,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":44,""is_threat"":0}"
ALERT000081,2026-02-13T16:39:26.345Z,USR0199,EVT000081,AUTH-002,29,suppress,"Risk score 29/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":21,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":21,""is_threat"":0}"
ALERT000082,2026-01-18T16:39:26.345Z,USR0745,EVT000082,AUTH-003,68,review,"Risk score 68/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":28,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":35,""is_threat"":0}"
ALERT000083,2026-01-27T16:39:26.345Z,USR0882,EVT000083,AUTH-002,57,review,"Risk score 57/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":0,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":4,""is_threat"":0}"
ALERT000084,2026-01-14T16:39:26.345Z,USR0474,EVT000084,AUTH-002,39,suppress,"Risk score 39/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":14,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":46,""is_threat"":0}"
ALERT000085,2026-02-12T16:39:26.345Z,USR0434,EVT000085,AUTH-003,2,suppress,"Risk score 2/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":40,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":33,""is_threat"":0}"
ALERT000086,2026-01-21T16:39:26.345Z,USR0028,EVT000086,AUTH-002,26,suppress,"Risk score 26/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":14,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":36,""is_threat"":0}"
ALERT000087,2026-01-30T16:39:26.345Z,USR0463,EVT000087,AUTH-003,25,suppress,"Risk score 25/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":3,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":13,""is_threat"":0}"
